market,year,path,rows,first_ts,last_ts,duplicate_ts,gap_count_gt_1min,zero_volume,zero_range,stale_close_run_max,close_min,close_max,volume_sum
GC,2014,/workspaces/quant_project/data/raw/GC/2014.parquet,334527,2014-01-01 23:00:00+00:00,2014-12-30 22:14:00+00:00,0,8230,0,33329,12,1131.8,1391.9,31431007.0
GC,2015,/workspaces/quant_project/data/raw/GC/2015.parquet,343131,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,8635,0,35197,16,1045.6,1306.0,32599457.0
GC,2016,/workspaces/quant_project/data/raw/GC/2016.parquet,347990,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,3780,0,17547,12,1061.0,1377.2,41610036.0
GC,2017,/workspaces/quant_project/data/raw/GC/2017.parquet,346699,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,2578,0,15867,13,1146.9,1362.1,57596640.0
GC,2018,/workspaces/quant_project/data/raw/GC/2018.parquet,347107,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,2338,0,14486,12,1167.6,1369.0,62021048.0
GC,2019,/workspaces/quant_project/data/raw/GC/2019.parquet,348036,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,2202,0,16059,15,1267.6,1566.1,68017249.0
GC,2020,/workspaces/quant_project/data/raw/GC/2020.parquet,349567,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,1409,0,4555,8,1451.6,2089.0,59338673.0
GC,2021,/workspaces/quant_project/data/raw/GC/2021.parquet,348357,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,2178,0,10245,9,1674.0,1961.9,43440853.0
GC,2022,/workspaces/quant_project/data/raw/GC/2022.parquet,349732,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,2284,0,9198,10,1618.6,2076.7,38732535.0
GC,2023,/workspaces/quant_project/data/raw/GC/2023.parquet,346674,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,2849,0,12109,10,1813.3,2148.6,41605285.0
GC,2024,/workspaces/quant_project/data/raw/GC/2024.parquet,351320,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,2143,0,7220,11,1997.7,2801.4,43658404.0
GC,2025,/workspaces/quant_project/data/raw/GC/2025.parquet,350874,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,1633,0,2737,6,2627.4,4583.4,48031320.0
